,Country,Family,Freedom,GDP per Capita,Generosity,Happiness Rank,Happiness Score,Life Expectancy,Region,Trust (Government Corruption),Year
84,Zambia,0.91612,0.48827,0.47038,0.19591,85,5.129,0.29924,Sub-Saharan Africa,0.12468,2015
85,Romania,0.8858799999999999,0.35068,1.04345,0.13748,86,5.124,0.7689,Central and Eastern Europe,0.006490000000000001,2015
86,Serbia,1.0096399999999999,0.20107,0.92053,0.19230999999999998,87,5.122999999999999,0.74836,Central and Eastern Europe,0.02617,2015
87,Portugal,1.13935,0.51469,1.15991,0.13719,88,5.102,0.8751899999999999,Western Europe,0.01078,2015
88,Latvia,1.09562,0.29671,1.11312,0.18225999999999998,89,5.098,0.72437,Central and Eastern Europe,0.06332,2015
89,Philippines,1.03516,0.62545,0.70532,0.24991,90,5.073,0.58114,Southeastern Asia,0.12279000000000001,2015
90,Somaliland region,0.95152,0.46581999999999996,0.18847,0.5031800000000001,91,5.0569999999999995,0.43873,Sub-Saharan Africa,0.39928,2015
91,Morocco,0.64095,0.41691000000000006,0.7347899999999999,0.07172,92,5.013,0.60954,Middle East and Northern Africa,0.08546000000000001,2015
92,Macedonia,1.00232,0.33457,0.91851,0.22359,93,5.007,0.73545,Central and Eastern Europe,0.053270000000000005,2015
93,Mozambique,1.02626,0.34037,0.08308,0.22269,94,4.971,0.09131,Sub-Saharan Africa,0.15603,2015
94,Albania,0.8043399999999999,0.35733000000000004,0.8786700000000001,0.14272,95,4.959,0.81325,Central and Eastern Europe,0.06412999999999999,2015
95,Bosnia and Herzegovina,0.9191600000000001,0.09245,0.8322299999999999,0.24808000000000002,96,4.949,0.79081,Central and Eastern Europe,0.00227,2015
96,Lesotho,1.04103,0.31767,0.37545,0.16388,97,4.898,0.07612000000000001,Sub-Saharan Africa,0.12504,2015
97,Dominican Republic,1.17202,0.57672,0.8953700000000001,0.21684,98,4.885,0.66825,Latin America and Caribbean,0.14234000000000002,2015
98,Laos,0.73803,0.59591,0.5906600000000001,0.42191999999999996,99,4.876,0.54909,Southeastern Asia,0.24249,2015
99,Mongolia,1.3006,0.43626000000000004,0.82819,0.3323,100,4.874,0.60268,Eastern Asia,0.026660000000000003,2015
100,Swaziland,1.07284,0.30658,0.71206,0.18259,101,4.867,0.07566,Sub-Saharan Africa,0.0306,2015
101,Greece,0.9293299999999999,0.07699,1.15406,0.0,102,4.857,0.88213,Western Europe,0.013969999999999998,2015
102,Lebanon,0.80001,0.33916,1.0256399999999999,0.21854,103,4.8389999999999995,0.83947,Middle East and Northern Africa,0.04582,2015
103,Hungary,1.20215,0.32111999999999996,1.12094,0.128,104,4.8,0.75905,Central and Eastern Europe,0.02758,2015
104,Honduras,0.9534799999999999,0.40148,0.59532,0.23026999999999997,105,4.788,0.6951,Latin America and Caribbean,0.06825,2015
105,Tajikistan,0.8556299999999999,0.47216,0.39047,0.22974,106,4.7860000000000005,0.5737899999999999,Central and Eastern Europe,0.15072,2015
106,Tunisia,0.60429,0.26268,0.88113,0.06431,107,4.739,0.73793,Middle East and Northern Africa,0.06358,2015
107,Palestinian Territories,0.92558,0.24499,0.59867,0.11250999999999999,108,4.715,0.66015,Middle East and Northern Africa,0.12905,2015
108,Bangladesh,0.43106000000000005,0.4082,0.39753,0.21222,109,4.694,0.60164,Southern Asia,0.12569,2015
109,Iran,0.54447,0.30033000000000004,1.0088,0.38086,110,4.686,0.69805,Middle East and Northern Africa,0.058629999999999995,2015
110,Ukraine,1.20278,0.25123,0.79907,0.15275,111,4.681,0.6739,Central and Eastern Europe,0.02961,2015
111,Iraq,0.81889,0.0,0.98549,0.17922000000000002,112,4.677,0.60237,Middle East and Northern Africa,0.13788,2015
112,South Africa,1.18468,0.33207,0.9204899999999999,0.11972999999999999,113,4.6419999999999995,0.27688,Sub-Saharan Africa,0.08884,2015
113,Ghana,0.6795399999999999,0.42341999999999996,0.5455800000000001,0.23087,114,4.633,0.40131999999999995,Sub-Saharan Africa,0.04355,2015
114,Zimbabwe,1.0327600000000001,0.25861,0.271,0.18987,115,4.61,0.33475,Sub-Saharan Africa,0.08079,2015
115,Liberia,0.78968,0.28531,0.0712,0.24361999999999998,116,4.571000000000001,0.34201,Sub-Saharan Africa,0.06232000000000001,2015
116,India,0.38174,0.39786,0.64499,0.26475,117,4.565,0.5152899999999999,Southern Asia,0.08492000000000001,2015
117,Sudan,1.01404,0.10081,0.52107,0.19062,118,4.55,0.36878,Sub-Saharan Africa,0.1466,2015
118,Haiti,0.74302,0.24425,0.26673,0.46187,119,4.518,0.38847,Latin America and Caribbean,0.17175,2015
119,Congo (Kinshasa),1.0012,0.22605,0.0,0.24834,120,4.5169999999999995,0.09806000000000001,Sub-Saharan Africa,0.07625,2015
120,Nepal,0.86449,0.38282,0.35996999999999996,0.32295999999999997,121,4.513999999999999,0.5687399999999999,Southern Asia,0.059070000000000004,2015
121,Ethiopia,0.60406,0.4345,0.19072999999999998,0.24325,122,4.512,0.44055,Sub-Saharan Africa,0.15048,2015
122,Sierra Leone,0.9557100000000001,0.4084,0.33024000000000003,0.21488000000000002,123,4.507,0.0,Sub-Saharan Africa,0.08786000000000001,2015
123,Mauritania,0.86908,0.24231999999999998,0.45407,0.21899999999999997,124,4.436,0.35874,Sub-Saharan Africa,0.17461,2015
124,Kenya,0.99876,0.42215,0.36471,0.37542,125,4.419,0.41435,Sub-Saharan Africa,0.05839,2015
125,Djibouti,0.59207,0.46074,0.44025,0.18093,126,4.369,0.36291,Sub-Saharan Africa,0.28105,2015
126,Armenia,0.7771100000000001,0.19847,0.7682100000000001,0.07855,127,4.35,0.7299,Central and Eastern Europe,0.039,2015
127,Botswana,1.10464,0.49495,0.99355,0.10461,128,4.332,0.047760000000000004,Sub-Saharan Africa,0.12474,2015
128,Myanmar,0.70905,0.44017,0.27108000000000004,0.79588,129,4.3069999999999995,0.48246000000000006,Southeastern Asia,0.19034,2015
129,Georgia,0.38561999999999996,0.40576999999999996,0.7419,0.055470000000000005,130,4.297,0.72926,Central and Eastern Europe,0.38331,2015
130,Malawi,0.41134,0.43054,0.016040000000000002,0.33128,131,4.292,0.22562,Sub-Saharan Africa,0.06977,2015
131,Sri Lanka,1.01905,0.5372600000000001,0.83524,0.40828000000000003,132,4.271,0.70806,Southern Asia,0.09179,2015
132,Cameroon,0.8876700000000001,0.49309,0.4225,0.20618000000000003,133,4.252,0.23401999999999998,Sub-Saharan Africa,0.05786,2015
133,Bulgaria,1.10614,0.30587,1.01216,0.11921,134,4.218,0.76649,Central and Eastern Europe,0.00872,2015
134,Egypt,0.747,0.17288,0.8818,0.11291,135,4.194,0.61712,Middle East and Northern Africa,0.06324,2015
